date_id,date,month,month_name,quarter,year,week_of_year
20250101,2025-01-01,1,January,1,2025,1
20250102,2025-01-02,1,January,1,2025,1
20250103,2025-01-03,1,January,1,2025,1
20250104,2025-01-04,1,January,1,2025,1
20250105,2025-01-05,1,January,1,2025,1
20250106,2025-01-06,1,January,1,2025,2
20250107,2025-01-07,1,January,1,2025,2
20250108,2025-01-08,1,January,1,2025,2
20250109,2025-01-09,1,January,1,2025,2
20250110,2025-01-10,1,January,1,2025,2
20250111,2025-01-11,1,January,1,2025,2
20250112,2025-01-12,1,January,1,2025,2
20250113,2025-01-13,1,January,1,2025,3
20250114,2025-01-14,1,January,1,2025,3
20250115,2025-01-15,1,January,1,2025,3
20250116,2025-01-16,1,January,1,2025,3
20250117,2025-01-17,1,January,1,2025,3
20250118,2025-01-18,1,January,1,2025,3
20250119,2025-01-19,1,January,1,2025,3
20250120,2025-01-20,1,January,1,2025,4
20250121,2025-01-21,1,January,1,2025,4
20250122,2025-01-22,1,January,1,2025,4
20250123,2025-01-23,1,January,1,2025,4
20250124,2025-01-24,1,January,1,2025,4
20250125,2025-01-25,1,January,1,2025,4
20250126,2025-01-26,1,January,1,2025,4
20250127,2025-01-27,1,January,1,2025,5
20250128,2025-01-28,1,January,1,2025,5
20250129,2025-01-29,1,January,1,2025,5
20250130,2025-01-30,1,January,1,2025,5
20250131,2025-01-31,1,January,1,2025,5
20250201,2025-02-01,2,February,1,2025,5
20250202,2025-02-02,2,February,1,2025,5
20250203,2025-02-03,2,February,1,2025,6
20250204,2025-02-04,2,February,1,2025,6
20250205,2025-02-05,2,February,1,2025,6
20250206,2025-02-06,2,February,1,2025,6
20250207,2025-02-07,2,February,1,2025,6
20250208,2025-02-08,2,February,1,2025,6
20250209,2025-02-09,2,February,1,2025,6
20250210,2025-02-10,2,February,1,2025,7
20250211,2025-02-11,2,February,1,2025,7
20250212,2025-02-12,2,February,1,2025,7
20250213,2025-02-13,2,February,1,2025,7
20250214,2025-02-14,2,February,1,2025,7
20250215,2025-02-15,2,February,1,2025,7
20250216,2025-02-16,2,February,1,2025,7
20250217,2025-02-17,2,February,1,2025,8
20250218,2025-02-18,2,February,1,2025,8
20250219,2025-02-19,2,February,1,2025,8
